ensembl,gene_exp,Affinity,Class,disease_score,disgenet_score,pathways,kinaseness
v0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
v31,0.0,0.0,0.0,0.0,0.0,78.0,0.0
v57,0.0,0.0,0.0,0.0,0.0,15.0,0.0
v218,0.0,0.0,0.0,0.0,0.0,43.0,0.0
v115,0.0,0.0,0.0,0.0,0.0,31.0,0.0
v213,0.0,0.0,0.0,0.0,0.0,32.0,0.0
v41,0.0,0.0,0.0,0.0,0.0,174.0,0.0
v23,0.0,0.0,0.0,0.0,0.0,68.0,0.0
v50,0.0,0.0,0.0,0.0,0.0,135.0,0.0
v12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v70,0.0,0.0,0.0,0.0,0.0,8.0,0.0
ENSP00000005178,0.0,0.0,0.0,0.0,0.0,54.0,2.0
v5,0.0,0.0,0.0,0.0,0.0,3.0,0.0
v95,0.0,0.0,0.0,0.0,0.0,39.0,0.0
v143,0.0,0.0,0.0,0.0,0.0,116.0,0.0
v71,0.0,0.0,0.0,0.0,0.0,196.0,0.0
v38,0.0,0.0,0.0,0.0,0.0,24.0,0.0
v37,0.0,0.0,0.0,0.0,0.0,64.0,0.0
ENSP00000005386,1.0,0.0,0.0,0.0,0.0,0.0,1.0
v2,0.0,0.0,0.0,0.0,0.0,116.0,0.0
ENSP00000005995,1.0,0.0,0.0,0.0,0.0,62.0,1.0
v26,0.0,0.0,0.0,0.0,0.0,76.0,0.0
v3,0.0,0.0,0.0,0.0,0.0,268.0,0.0
v462,0.0,0.0,0.0,0.0,0.0,127.0,0.0
v544,0.0,0.0,0.0,0.0,0.0,294.0,0.0
v44,0.0,0.0,0.0,0.0,0.0,115.0,0.0
v873,0.0,0.0,0.0,0.0,0.0,11.0,0.0
v165,0.0,0.0,0.0,0.0,0.0,71.0,0.0
v8,0.0,0.0,0.0,0.0,0.0,5.0,0.0
v156,0.0,0.0,0.0,0.0,0.0,162.0,0.0
v16,0.0,0.0,0.0,0.0,0.0,62.0,0.0
ENSP00000009105,0.0,4.725365201000001,0.0,0.0,0.0,109.0,2.0
v281,0.0,0.0,0.0,0.0,0.0,138.0,0.0
v649,0.0,0.0,0.0,0.0,0.0,30.0,0.0
v105,0.0,0.0,0.0,0.0,0.0,87.0,0.0
v430,0.0,0.0,0.0,0.0,0.0,106.0,0.0
ENSP00000012049,0.0,0.0,0.0,0.0,0.0,281.0,1.0
v46,0.0,0.0,0.0,0.0,0.0,109.0,0.0
v555,0.0,0.0,0.0,0.0,0.0,108.0,0.0
ENSP00000013125,0.0,4.98883177,0.0,0.0,0.0,273.0,2.0
ENSP00000013222,0.0,0.0,0.0,0.0,0.0,0.0,1.0
v65,0.0,0.0,0.0,0.0,0.0,54.0,0.0
ENSP00000016913,0.0,0.0,0.0,0.0,0.0,0.0,1.0
v267,0.0,0.0,0.0,0.0,0.0,168.0,0.0
v87,0.0,0.0,0.0,0.0,0.0,173.0,0.0
v110,0.0,0.0,0.0,0.0,0.0,86.0,0.0
v4,0.0,0.0,0.0,0.0,0.0,10.0,0.0
v94,0.0,0.0,0.0,0.0,0.0,126.0,0.0
ENSP00000023939,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
v30,0.0,0.0,0.0,0.0,0.0,16.0,0.0
v151,0.0,0.0,0.0,0.0,0.0,281.0,0.0
v816,0.0,0.0,0.0,0.0,0.0,17.0,0.0
v153,0.0,0.0,0.0,0.0,0.0,104.0,0.0
v47,0.0,0.0,0.0,0.0,0.0,17.0,0.0
v77,0.0,0.0,0.0,0.0,0.0,69.0,0.0
ENSP00000039989,0.0,0.0,0.0,0.0,0.0,30.0,1.0
v39,0.0,0.0,0.0,0.0,0.0,249.0,0.0
v939,0.0,0.0,0.0,0.0,0.0,92.0,0.0
